Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
210,Loyola (IL) Ramblers,Chicago Illinois,1921,2020,99,2510,1338,1172,.533,-0.08,1.49,5,6,2,6,2,1
211,Loyola (LA) Wolfpack,New Orleans Louisiana,1952,1972,20,499,237,262,.475,-6.45,0.25,0,0,0,2,0,0
212,Loyola (MD) Greyhounds,Baltimore Maryland,1908,2020,76,1761,804,957,.457,-9.08,-4.75,0,0,2,2,0,0
213,Loyola Marymount Lions,Los Angeles California,1943,2020,73,2011,875,1136,.435,-4.19,0.36,2,3,2,5,0,0
214,Macalester Scots,St. Paul Minnesota,1896,1899,4,21,8,13,.381,,,0,0,0,,,
215,Maine Black Bears,Orono Maine,1904,2020,76,1823,805,1018,.442,-12.23,-7.28,0,0,0,0,0,0
216,Manchester Spartans,North Manchester Indiana,1926,1926,1,16,15,1,.938,,,0,0,0,,,
217,Manhattan Jaspers,Riverdale New York,1905,2020,114,2633,1374,1259,.522,-3.39,-2.43,0,13,5,8,0,0
218,Marietta Pioneers,Marietta Ohio,1908,1920,13,175,109,66,.623,,,0,0,0,,,
219,Marist Red Foxes,Poughkeepsie New York,1982,2020,39,1145,500,645,.437,-7.49,-5.59,0,5,2,2,0,0
220,Marquette Golden Eagles,Milwaukee Wisconsin,1917,2020,103,2662,1649,1013,.619,9.01,4.68,22,3,1,33,3,1
221,Marshall Thundering Herd,Huntington West Virginia,1919,2020,96,2484,1417,1065,.571,-1.02,-1.24,1,6,4,6,0,0
222,Maryland Terrapins,College Park Maryland,1924,2020,97,2620,1581,1039,.603,10.07,5.28,23,6,4,28,2,1
223,Maryland-Baltimore County Retrievers,Baltimore Maryland,1987,2020,34,999,398,601,.398,-11.39,-6.58,0,2,2,2,0,0
224,Maryland-Eastern Shore Hawks,Princess Anne Maryland,1974,2020,41,1177,337,840,.286,-20.02,-9.39,0,1,1,0,0,0
225,Massachusetts Institute of Technology Engineers,Cambridge Massachusetts,1909,1909,1,16,10,6,.625,,,0,0,0,,,
