school_common_name,school_full_name,team,city,state,type,conference,address,lng,lat,key_0,count_dist,mean_dist,std_dist,min_dist,25%_dist,50%_dist,75%_dist,max_dist,count_wtDist,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
Oregon,University of Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference,University of Oregon Eugene Oregon,-123.07682891244707,44.04426385,Oregon,5.0,375.999048552,9.352513336921852,369.16893852,369.16893852,369.16893852,386.2442136,386.2442136,5.0,244.228628808,82.76914211094244,184.58446926,184.58446926,193.1221068,289.68316020000003,369.16893852
Xavier,Xavier University,Musketeers,Cincinnati,Ohio,Private/Catholic,Big East Conference,Xavier University Cincinnati Ohio,-84.47083471474069,39.1513078,Xavier,5.0,571.6613199999999,613.5252075581873,241.90594401,241.90594401,312.11465330000004,399.33650057,1663.0435581099996,5.0,242.4748091605,108.04943305294842,120.952972005,199.668250285,234.08598997500002,241.90594401,415.7608895274999
TCU,Texas Christian University,Horned Frogs,Fort Worth,Texas,Private/Disciples of Christ,Big 12 Conference,Texas Christian University Fort Worth Texas,-97.36119385339882,32.7080148,TCU,1.0,961.21122732,,961.21122732,961.21122732,961.21122732,961.21122732,961.21122732,1.0,240.30280683,,240.30280683,240.30280683,240.30280683,240.30280683,240.30280683
LSU,Louisiana State University,Tigers,Baton Rouge,Louisiana,State,Southeastern Conference,Louisiana State University Baton Rouge Louisiana,-91.18596767189877,30.40570885,LSU,4.0,813.33114303,375.3940604793152,567.9828036800002,567.9828036800002,662.508867055,907.8572064049998,1360.32403433,4.0,238.8317109875,89.67629001512636,141.99570092000005,177.44297468562496,236.62506722375002,298.01380352562506,340.0810085825
Temple,Temple University,Owls,Philadelphia,Pennsylvania,State-related,American Athletic Conference,Temple University Philadelphia Pennsylvania,-75.15628269523319,39.981188,Temple,4.0,312.8369970875,251.72126030671274,117.70009482,163.10522721750002,228.26374370500002,377.995513575,677.12040612,4.0,231.0552529225,200.46047401737974,29.425023705,141.03645943875,193.47784169750003,283.49663518125,507.84030458999996
Florida,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference,University of Florida Gainesville Florida,-82.34901330482433,29.6328784,Florida,11.0,384.42642098363643,318.60679118258497,63.6905275,106.03074744,463.39985067,491.153386385,921.95922125,11.0,230.0171396904545,190.6410510360528,23.860646399999997,87.46418195999999,129.726730525,457.9426598625,463.39985067
Houston,University of Houston,Cougars,Houston,Texas,State,American Athletic Conference,University of Houston Houston Texas,-95.34406271491372,29.7207902,Houston,1.0,446.19408768000005,,446.19408768000005,446.19408768000005,446.19408768000005,446.19408768000005,446.19408768000005,1.0,223.09704384000003,,223.09704384000003,223.09704384000003,223.09704384000003,223.09704384000003,223.09704384000003
Washington,University of Washington,Huskies,Seattle,Washington,State,Pac-12 Conference,University of Washington Seattle Washington,-122.30800894320257,47.65432379999999,Washington,2.0,277.14389342,181.97181826496103,148.47038674,212.80714008,277.14389342,341.48064676,405.8174001,2.0,221.4674983925,260.7101312168935,37.117596685,129.29254753875,221.4674983925,313.64244924625,405.8174001
Georgia Tech,Georgia Institute of Technology,Yellow Jackets,Atlanta,Georgia,State,Atlantic Coast Conference,Georgia Institute of Technology Atlanta Georgia,-84.39884086001581,33.776033,Georgia Tech,6.0,537.3885668766667,543.9578399937794,1.9262501,215.8130222925,431.09477238,615.2877779099999,1539.47772105,6.0,217.3633429375,165.28921047670613,1.4446875750000001,79.15606333312499,267.66177196,341.5816195475,384.8694302625
Wisconsin,University of Wisconsin–Madison,Badgers,Madison,Wisconsin,State,Big Ten Conference,University of Wisconsin–Madison Madison Wisconsin,-89.4059387,43.07052570000001,Wisconsin,8.0,559.7698324874999,511.3718419484546,74.9373426,122.71455879,357.07705886,1002.1207405324999,1391.5168585299996,8.0,204.599994240625,118.01774937018111,56.203006949999995,92.0359190925,211.54187338125,288.333620059375,357.07705886
