school_common_name,year,school_full_name,team,city,state,type,conference,address,lng,lat,weightedDist,count,mean,std,min,25%,50%,75%,max
Saint Joseph's,2004.0,Saint Joseph's University,Hawks,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference,Saint Joseph's University Philadelphia Pennsylvania,-75.24151166935775,39.99652965,288.7157572986736,2.0,1283.3644090002917,1406.6456130325412,288.7157572986736,786.0400831494827,1283.3644090002917,1780.688734851101,2278.01306070191
Mississippi State,2004.0,Mississippi State University,Bulldogs,Starkville,Mississippi,State,Southeastern Conference,Mississippi State University Starkville Mississippi,-88.79345874498733,33.438723499999995,414.1740015458897,2.0,525.6736874332718,37.55912874056858,499.11537280535714,512.3945301193145,525.6736874332718,538.952844747229,552.2320020611863
Georgia Tech,2004.0,Georgia Institute of Technology,Yellow Jackets,Atlanta,Georgia,State,Atlantic Coast Conference,Georgia Institute of Technology Atlanta Georgia,-84.39884086001581,33.776033,307.8555106967774,6.0,542.7427598092279,588.2756700151522,1.7582987037959068,198.11446220058332,422.7452170536018,579.2681340926279,1654.5278423558207
NC State,2004.0,North Carolina State University,Wolfpack,Raleigh,North Carolina,State,Atlantic Coast Conference,North Carolina State University Raleigh North Carolina,-78.67408695452633,35.77184965,239.87528212179282,3.0,1127.5837819434234,630.551342125213,479.75056424358564,821.7252633165617,1163.6999623895379,1451.5003907933424,1739.3008191971467
Dayton,2003.0,University of Dayton,Flyers,Dayton,Ohio,Private/Catholic,Atlantic 10 Conference,University of Dayton Dayton Ohio,-84.17919478013708,39.73845985,530.9566516598643,1.0,2123.826606639457,,2123.826606639457,2123.826606639457,2123.826606639457,2123.826606639457,2123.826606639457
Alabama,2002.0,University of Alabama,Crimson Tide,Tuscaloosa,Alabama,State,Southeastern Conference,University of Alabama Tuscaloosa Alabama,-87.53967401518648,33.21208215,251.53213419797493,3.0,194.53844898408792,142.89464033552935,49.67209510589464,124.11958401081527,198.5670729157359,266.97162592318455,335.3761789306332
Georgia,2002.0,University of Georgia,Bulldogs,Athens,Georgia,State,Southeastern Conference,University of Georgia Athens Georgia,-83.37304904988295,33.9404278,279.7467518093772,2.0,367.9477786628048,270.8865620472905,176.40205370685527,272.17491618483007,367.9477786628048,463.7206411407796,559.4935036187544
USC,2002.0,University of Southern California,Trojans,Los Angeles,California,Private/Non-Sectarian,Pac-12 Conference,University of Southern California Los Angeles California,-118.28586726915087,34.0218833,86.62883480619932,2.0,1157.498359345454,1146.9031859089253,346.5153392247973,752.0068492851256,1157.498359345454,1562.9898694057824,1968.4813794661106
Ole Miss,2001.0,University of Mississippi,Rebels,Oxford,Mississippi,State,Southeastern Conference,University of Mississippi Oxford Mississippi,-89.53963491020966,34.3646125,214.87202028711968,2.0,465.1532221760377,50.07614485379504,429.74404057423936,447.4486313751385,465.1532221760377,482.8578129769368,500.562403777836
Temple,2000.0,Temple University,Owls,Philadelphia,Pennsylvania,State-related,American Athletic Conference,Temple University Philadelphia Pennsylvania,-75.15628269523319,39.981188,220.10028365307824,4.0,352.2921789429395,306.5662711272553,126.23487250178567,173.39366793571241,241.29015564222948,420.18866664945654,800.3535319855133
St. John's,2000.0,St. John's University,Red Storm,Jamaica,New York,Private/Catholic,Big East Conference,St. John's University Jamaica New York,-73.99007259999998,40.72994420000001,1768.9812306725912,5.0,1803.5291940993109,970.9900102144433,636.8949976980416,885.8121978995558,2355.2974840870443,2358.6416408967884,2780.9996499151234
Arkansas,1999.0,University of Arkansas,Razorbacks,Fayetteville,Arkansas,State,Southeastern Conference,University of Arkansas Fayetteville Arkansas,-94.17609533911696,36.06515200000001,177.37948734812457,7.0,548.4347114969421,215.7071041363976,210.8782494311959,422.89003086209374,581.9819618414759,667.2589468052154,865.8848138713054
South Carolina,1998.0,University of South Carolina,Gamecocks,Columbia,South Carolina,State,Southeastern Conference,University of South Carolina Columbia South Carolina,-81.0268516571211,33.992829799999996,196.42062125699036,2.0,399.39363481415364,9.266482056893633,392.8412425139807,396.1174386640672,399.39363481415364,402.66983096424013,405.9460271143266
Minnesota,1997.0,University of Minnesota,Golden Gophers,Minneapolis–Saint Paul,Minnesota,State,Big Ten Conference,University of Minnesota St. Paul Minnesota,-93.17945580218505,44.9863392,376.01803389670647,1.0,376.01803389670647,,376.01803389670647,376.01803389670647,376.01803389670647,376.01803389670647,376.01803389670647
Clemson,1997.0,Clemson University,Tigers,Clemson,South Carolina,State,Atlantic Coast Conference,Clemson University Clemson South Carolina,-82.83743475607795,34.66869155,194.98396820911347,2.0,446.0471315378539,472.1899862681618,112.15839023925392,279.1027608885539,446.0471315378539,612.9915021871539,779.9358728364539
UMass,1996.0,University of Massachusetts Amherst,Minutemen,Amherst,Massachusetts,State,Atlantic 10 Conference,University of Massachusetts Amherst Amherst Massachusetts,-72.52991477067445,42.3869382,77.74467708327808,5.0,399.36633141287274,656.457076855518,45.87754640991753,77.74467708327808,77.88842971432217,228.55417131342548,1566.7668325434204
Seton Hall,1993.0,Seton Hall University,Pirates,South Orange,New Jersey,Private/Catholic,Big East Conference,Seton Hall University South Orange New Jersey,-74.24685806216726,40.74337195,658.7737387156325,4.0,1502.894898686221,983.7429943349857,450.59730937372,771.4230660590624,1608.8513223294149,2340.3231549565735,2343.2796407123346
UNLV,1991.0,"University of Nevada, Las Vegas",Rebels,Paradise,Nevada,State,Mountain West Conference,UNLV Paradise Nevada,-115.14183186108524,36.1071554,354.04668960778537,7.0,336.2937946076467,81.57881569211239,231.15031778132573,295.86711858588365,352.8954102042558,353.4710499060206,471.33449728413706
Nebraska,1991.0,University of Nebraska–Lincoln,Cornhuskers,Lincoln,Nebraska,State,Big Ten Conference,University of Nebraska–Lincoln Lincoln Nebraska,-96.70049096055014,40.820739,167.56528565287624,1.0,335.1305713057525,,335.1305713057525,335.1305713057525,335.1305713057525,335.1305713057525,335.1305713057525
La Salle,1990.0,La Salle University,Explorers,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference,La Salle University Philadelphia Pennsylvania,-75.15401786487763,40.0374695,46.7423370158989,1.0,186.9693480635956,,186.9693480635956,186.9693480635956,186.9693480635956,186.9693480635956,186.9693480635956
DePaul,1987.0,DePaul University,Blue Demons,Chicago,Illinois,Private/Catholic,Big East Conference,DePaul University Chicago Illinois,-87.65472633854412,41.92401995,7.203392182628669,1.0,14.406784365257337,,14.406784365257337,14.406784365257337,14.406784365257337,14.406784365257337,14.406784365257337
TCU,1987.0,Texas Christian University,Horned Frogs,Fort Worth,Texas,Private/Disciples of Christ,Big 12 Conference,Texas Christian University Fort Worth Texas,-97.36119385339882,32.7080148,259.61851075862205,1.0,1038.4740430344882,,1038.4740430344882,1038.4740430344882,1038.4740430344882,1038.4740430344882,1038.4740430344882
VCU,1985.0,Virginia Commonwealth University,Rams,Richmond,Virginia,State,Atlantic 10 Conference,Virginia Commonwealth University Richmond Virginia,-77.45306424444706,37.548215,1365.835009763346,1.0,1821.113346351128,,1821.113346351128,1821.113346351128,1821.113346351128,1821.113346351128,1821.113346351128
Loyola–Chicago,1985.0,Loyola University Chicago,Ramblers,Chicago,Illinois,Private/Catholic,Missouri Valley Conference,Loyola University Chicago Chicago Illinois,-87.66842176669064,41.94484179999999,232.73231462904891,1.0,930.9292585161957,,930.9292585161957,930.9292585161957,930.9292585161957,930.9292585161957,930.9292585161957
