seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference,address,lng,lat
1.0,Ohio State,"Cleveland, OH",2011.0,2011128,The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference,The Ohio State University Columbus Ohio,-83.02866259769122,40.00570905
1.0,Pittsburgh,"Washington, DC",2011.0,2011129,University of Pittsburgh,Panthers,Pittsburgh,Pennsylvania,State-related,Atlantic Coast Conference,University of Pittsburgh Pittsburgh Pennsylvania,-79.96243992762707,40.44415295
1.0,Kansas,"Tulsa, OK",2011.0,2011130,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,University of Kansas Lawrence Kansas,-95.2477503,38.958058
1.0,Duke,"Charlotte, NC",2011.0,2011131,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999
2.0,North Carolina,"Charlotte, NC",2011.0,2011132,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,University of North Carolina at Chapel Hill Chapel Hill North Carolina,-79.04775326525107,35.90503535
2.0,Florida,"Tampa, FL",2011.0,2011133,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference,University of Florida Gainesville Florida,-82.34901330482433,29.6328784
2.0,Notre Dame,"Chicago, IL",2011.0,2011134,University of Notre Dame,Fighting Irish,South Bend,Indiana,Private/Catholic,Atlantic Coast Conference,University of Notre Dame South Bend Indiana,-86.23822026017265,41.704567749999995
2.0,San Diego State,"Tucson, AZ",2011.0,2011135,San Diego State University,Aztecs,San Diego,California,State,Mountain West Conference,San Diego State University San Diego California,-117.07385052563076,32.77481589999999
3.0,Syracuse,"Cleveland, OH",2011.0,2011136,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference,Syracuse University Syracuse New York,-76.1333088275183,43.03830645
3.0,BYU,"Denver, CO",2011.0,2011137,Brigham Young University,Cougars,Provo,Utah,Private/Latter-Day Saints,West Coast Conference,Brigham Young University Provo Utah,-111.64965660160263,40.25501105
3.0,Purdue,"Chicago, IL",2011.0,2011138,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference,Purdue University West Lafayette Indiana,-86.92391089364378,40.43195815
3.0,UConn,"Washington, DC",2011.0,2011139,University of Connecticut,Huskies,Storrs,Connecticut,State,American Athletic Conference,University of Connecticut Storrs Connecticut,-72.2540140374581,41.81127235
4.0,Kentucky,"Tampa, FL",2011.0,2011140,University of Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference,University of Kentucky Lexington Kentucky,-84.50481984038481,38.027035749999996
